,International plan,Voice mail plan,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,Account length,Number vmail messages,Total day calls,Total eve calls,Total night calls,Total intl calls,Customer service calls,average day charge,average eve charge,average night charge,average intl charge,Area_code_408,Area_code_415,Area_code_510,Churn
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7033737783408958,-0.5894135350539065,-0.21567821508845197,-1.439831101644386,1.4367299683079644,-1.0047369269733455,-0.42917241045590593,-0.9513066093455151,-0.01946512748643751,-0.18840579271231234,-0.04053120607085302,1,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1420853106575593,-0.5894135350539065,-0.6159901958913855,-1.2413954054047318,0.7671382619727606,0.21689365100367133,1.0963924512446874,0.546459832836882,0.0014312549855345286,1.1405688879881795,-0.06377282642236748,0,0,1,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9763339399308335,-0.5894135350539065,-1.5166921526979857,-1.1917864813448182,-0.056974607362874866,0.6241038436626769,1.8591748820949843,-0.17322385857044326,0.028964590663510176,-1.4759778575394473,-0.08986176987374718,0,1,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3948879255888545,1.3944621350223254,1.9359986817273154,-0.49726154450602783,-1.2931439113663281,-0.19031654165533426,-0.42917241045590593,-0.23809667231990464,0.00591899036583524,-0.997820741276938,-0.09497044662894133,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.19264583364381835,-0.5894135350539065,0.6850237417181483,0.5445258607521577,1.076180587973624,-0.5975267343143399,1.0963924512446874,-0.06929128774628544,0.004353575711837573,0.9712837013879171,-0.10172687840231603,0,0,1,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.6224102790270202,1.8353233950392658,-1.7168481430994524,-1.7374846460038678,0.40658888163842005,0.21689365100367133,-0.42917241045590593,-0.0702360037383332,0.009637412919148625,-1.2618606789059859,-0.07061392714962188,0,0,1,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.6982510635064088,-0.5894135350539065,-0.515912200690652,-0.596479392625855,-1.3446509656998054,-1.0047369269733455,-0.42917241045590593,-0.19467354854753635,0.0020155367758504053,-1.2389320956121088,-0.07061392714961916,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1724882869851758,-0.5894135350539065,0.8351407345192484,-0.34843477232628706,1.6942652399753504,-0.19031654165533426,-1.1919548413062027,-0.5510803225475134,0.043867477015620555,-1.1418840210762269,-0.054731091894745953,0,1,0,0
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5971300175338906,-0.5894135350539065,-0.5659511982910188,1.0406151013512936,-1.8597215090345773,0.6241038436626769,2.621957312945281,-0.9853140919914152,0.03178162308500381,0.6112076286403174,-0.08536227417200179,1,0,0,1
19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7427238416019739,-0.5894135350539065,0.5849457465174149,-0.05078122796680547,-1.1386227483658964,5.91783634822975,-1.1919548413062027,0.10992689320762906,-0.03724145400587846,0.36420006473885397,-0.1148015816524765,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7932843645882329,-0.5894135350539065,-0.7160681910921188,-1.3902221775844725,0.7671382619727606,-1.0047369269733455,-1.1919548413062027,-1.1540876303199976,0.030964902195924723,-1.2603063200881486,-0.06244397951851214,0,0,1,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.855055347299673,-0.5894135350539065,-1.2164581670957857,0.5941347848120713,0.7671382619727606,0.21689365100367133,1.0963924512446874,0.38490339233126386,0.036401979372128815,0.3936995749665436,-0.09771709470865327,0,1,0,0
22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.102735247396481,2.276184655056206,0.7350627393185151,0.5941347848120713,0.7671382619727606,-0.5975267343143399,-1.1919548413062027,0.10992689320675178,0.04331026203875359,0.5298044818104565,-0.1148015816524765,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1785760318758696,-0.5894135350539065,-1.3665751598968856,-0.0011723039068918697,-1.6536932917006686,-0.19031654165533426,1.0963924512446874,0.36442770032525446,0.0015258826757454317,2.723599989130147,-0.07633494841271234,1,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0381049226422734,-0.5894135350539065,0.4348287537163149,-0.7949150888655094,0.09754655563755678,0.6241038436626769,-1.1919548413062027,0.10992689320762906,0.00694049779163317,-0.813233151771102,-0.05725365984698933,0,1,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0460869795195282,-0.5894135350539065,-0.26571721268881865,-1.836702494123695,2.4668710549775086,0.6241038436626769,0.3336100203943908,-1.50179389083757,0.01661093718277886,0.6379836937439888,-0.04689334812667568,0,1,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6476905405201497,-0.5894135350539065,0.23467276331484818,0.3460901645125033,-0.10848166169635208,0.21689365100367133,-0.42917241045590593,-0.34352680813089875,0.005983364308583657,-0.2200586957572059,-0.06244397951851214,0,0,1,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8044948243134138,-0.5894135350539065,1.0352967249207152,0.7429615569918121,-1.1386227483658964,2.2529446142986993,1.0963924512446874,0.10992689320762906,0.09899180846411813,-0.2843503245845299,-0.05725365984698933,1,0,0,0
28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2403470145873094,-0.5894135350539065,0.8851797321196151,0.9413972532314665,-0.5205380963641698,-0.5975267343143399,-0.42917241045590593,0.38380167173574964,0.040311692118889124,-0.18995092517221351,-0.09909349381352925,1,0,0,1
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.102735247396481,1.2475083816833452,-0.3157562102891853,-1.2413954054047318,0.8186453163062378,-0.19031654165533426,-1.1919548413062027,-0.6632272553590118,-0.01008760214478225,-0.687166833129548,-0.06047443857173159,1,0,0,0
30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7235313249995383,2.129230901717226,-1.016302176694319,0.09804554421293532,-1.4991721287002369,0.6241038436626769,1.0963924512446874,0.10992689320762906,0.023849973958879268,-1.5704189781112246,-0.07633494841271234,0,1,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5718497560407612,-0.5894135350539065,-1.8169261383001858,0.7925704810517257,0.40658888163842005,0.21689365100367133,-0.42917241045590593,-0.9350827158710484,0.045499551182508605,0.2963211030225673,-0.07061392714962188,0,1,0,0
32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8944054105607511,1.8353233950392658,0.2847117609152149,-0.05078122796680547,0.35508182730494287,0.6241038436626769,1.0963924512446874,0.6128339987887406,-0.004843243144951381,-2.073005203455255,-0.11060064266804988,0,1,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2230488099714347,-0.5894135350539065,-0.3157562102891853,-0.39804369638620063,0.40658888163842005,1.8457344216396938,-0.42917241045590593,-0.37689785974501616,0.03446574067847584,1.1642108244566995,-0.09332638156409011,1,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06624452617817074,-0.5894135350539065,0.08455577051374813,-0.7453061648055959,1.7972793486423049,-1.0047369269733455,1.0963924512446874,0.3805488506586247,0.006489276309930085,0.35346027532409635,-0.08849774952321653,1,0,0,0
35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8691251490676215,2.4231384083951863,-0.7661071886924855,0.3460901645125033,-1.1386227483658964,4.288995577593727,-1.1919548413062027,-0.4823517435396956,0.029992727631755443,-0.4718111791666464,-0.059084762472225036,1,0,0,1
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.68418126173846,-0.5894135350539065,-0.9162241814935855,-0.10039015202671907,-1.1386227483658964,-0.19031654165533426,0.3336100203943908,-0.9853140919914152,0.008140682983312459,-0.4621840882040069,-0.07061392714962188,0,0,1,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5011316863958595,-0.5894135350539065,-1.166419169495419,0.49491693669224407,-0.4175239876972154,-0.19031654165533426,1.0963924512446874,-1.4830144163145424,0.02472942297701354,0.8840700704116964,-0.033980936158540996,0,1,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.9257734169445744,-0.5894135350539065,-1.6668091454990859,0.8917883291715528,-0.7265663136980787,-0.5975267343143399,-0.42917241045590593,0.10992689320762906,0.03719831933509898,-0.31732082664674655,-0.19015316090998147,0,0,1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.052174724410222,1.4679390116918154,-0.1656392174880853,-0.39804369638620063,0.8186453163062378,0.21689365100367133,0.3336100203943908,0.9581390722557722,-0.007456606840327967,-0.1592061573571668,-0.11998882805063671,1,0,0,0
40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0460869795195282,-0.5894135350539065,1.6357646961251153,-1.2910043294646454,1.3852229139744872,0.21689365100367133,0.3336100203943908,0.10992689320762906,0.030081277098165878,-0.22415647219657944,-0.09332638156408739,1,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.09152478767130025,1.174031505013855,1.7358426913258487,-2.084747114423263,-1.0871156940324191,-0.5975267343143399,-0.42917241045590593,1.136473434987607,0.03224263238423329,-2.565713554873828,-0.07061392714962188,0,1,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2291365548621287,-0.5894135350539065,0.38478975611594823,-0.19960800014654626,-0.6750592593646014,0.21689365100367133,1.0963924512446874,0.6442849643127876,0.03456517029304224,-1.003595066835899,-0.11367071276946628,1,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0268944629170924,-0.5894135350539065,-2.167199121502753,0.7429615569918121,1.4882370226414416,-0.5975267343143399,-0.42917241045590593,0.4198070759525085,0.04120129342502541,-1.1982428939783463,-0.11998882805064215,1,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.11680504916442977,-0.5894135350539065,0.8351407345192484,-1.6382667978840406,-1.6536932917006686,0.21689365100367133,0.3336100203943908,0.9634345577653717,0.009701426595173392,0.6967191283825126,-0.06156514053030447,0,1,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3443274026025955,-0.5894135350539065,-0.8661851838932189,0.7925704810517257,1.3852229139744872,-0.5975267343143399,2.621957312945281,0.10992689320675178,0.045944721921392706,-1.319673344987676,-0.07928280288033641,0,1,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4960089715613726,-0.5894135350539065,-1.6668091454990859,-0.7453061648055959,-0.10848166169635208,-0.5975267343143399,-0.42917241045590593,-0.8636410401841743,0.023491132452920064,-0.19801966786986236,-0.03757762981948279,1,0,0,0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0208067180263987,-0.5894135350539065,-0.11560021988771861,-1.8863114181836085,1.4367299683079644,-1.0047369269733455,-0.42917241045590593,0.9180288996718446,0.021054440315182117,-1.706569110922985,-0.07061392714962188,0,1,0,0
48,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5152014881638083,1.6148927650307956,1.4356087057236486,-1.1421775572849047,-1.1901298026993736,-0.5975267343143399,1.0963924512446874,-0.23458857827039817,0.029122175689965276,1.3774959016156807,-0.12848005304635846,1,0,0,1
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6163225341363263,-0.5894135350539065,0.1345947681141148,1.2886597216508617,-0.2630028246967837,1.438524228980688,-0.42917241045590593,0.2589841899366685,0.014206495169476214,-0.45596941680741476,-0.07061392714962188,1,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.855055347299673,-0.5894135350539065,-0.1656392174880853,-0.29882584826637343,-2.3747920523693495,-0.19031654165533426,-0.42917241045590593,-0.4237767283310714,0.03178162308500381,-1.0716859138288914,-0.08536227417200179,1,0,0,0
51,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38880018069816064,1.9088002717087558,-0.8661851838932189,2.0824025066094793,0.3035747729714656,-0.5975267343143399,0.3336100203943908,0.36442770032525446,0.0006055268899769632,1.3145804939075623,-0.05610117672503718,0,1,0,0
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2230488099714347,1.4679390116918154,-0.41583420548991873,-1.7870935700637813,-2.426299106702827,-0.5975267343143399,1.0963924512446874,-0.0792089605196922,0.0404655329462717,-0.5471092630153331,-0.05725365984698933,1,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.583060215765942,-0.5894135350539065,-0.11560021988771861,-0.14999907608663265,0.3035747729714656,0.6241038436626769,0.3336100203943908,1.1521248172390268,-0.005041916709401252,1.950759864660096,-0.029505412372301247,1,0,0,0
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.532499692779683,2.4231384083951863,-1.316536162296519,-0.596479392625855,0.09754655563755678,0.21689365100367133,0.3336100203943908,-0.5823193450555648,0.0031385810512494076,1.3128628756684286,-0.016212838731726444,0,1,0,0
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.4566589083002943,-0.5894135350539065,0.23467276331484818,0.19726339233276252,-1.7052003460341458,-0.19031654165533426,-1.1919548413062027,-0.5694759864088441,0.009637412919148625,0.41532751293933606,-0.06156514053030447,0,1,0,0
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31295939621877206,-0.5894135350539065,-0.365795207889552,0.9413972532314665,2.003307565976214,1.438524228980688,-1.1919548413062027,1.2020797929212963,0.04460450024616651,-0.6805304811754603,-0.06047443857173159,1,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6416027956294559,-0.5894135350539065,-1.5166921526979857,-0.9933507851051638,-2.065749726368486,-1.411947119632351,-0.42917241045590593,0.43298796779612186,0.0014538684718718318,-0.9666427258485977,-0.11367071276946628,1,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.2483290714645643,-0.5894135350539065,0.03451677291338145,0.49491693669224407,-0.005467553029397651,-0.5975267343143399,1.8591748820949843,0.6831186156487195,0.04620646152539909,-1.2048419647963386,-0.09497044662894133,0,0,1,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9449659335470101,-0.5894135350539065,-0.365795207889552,-0.844524012925423,0.20056066430451122,1.0313140363216826,1.0963924512446874,-0.45541034118614393,0.03887138524226375,-0.282234513584703,-0.09909349381352925,1,0,0,0
